           r/a             r           psi            ff             q
 0.780000000E+00 0.455435062E+00 0.219361870E+00 0.339750550E+01 0.220546798E+01
 0.785000000E+00 0.458354518E+00 0.221459784E+00 0.339716783E+01 0.222902232E+01
 0.790000000E+00 0.461273973E+00 0.223559448E+00 0.339683970E+01 0.225312373E+01
 0.795000000E+00 0.464193429E+00 0.225660741E+00 0.339652120E+01 0.227779601E+01
 0.800000000E+00 0.467112884E+00 0.227763537E+00 0.339621238E+01 0.230306753E+01
 0.805000000E+00 0.470032340E+00 0.229867715E+00 0.339591338E+01 0.232896684E+01
 0.810000000E+00 0.472951796E+00 0.231973147E+00 0.339562424E+01 0.235552557E+01
 0.815000000E+00 0.475871251E+00 0.234079709E+00 0.339534508E+01 0.238277736E+01
 0.820000000E+00 0.478790707E+00 0.236187274E+00 0.339507599E+01 0.241075885E+01
 0.825000000E+00 0.481710162E+00 0.238295711E+00 0.339481707E+01 0.243950871E+01
 0.830000000E+00 0.484629618E+00 0.240404893E+00 0.339456842E+01 0.246906954E+01
 0.835000000E+00 0.487549073E+00 0.242514688E+00 0.339433016E+01 0.249948894E+01
 0.840000000E+00 0.490468529E+00 0.244624964E+00 0.339410241E+01 0.253081640E+01
 0.845000000E+00 0.493387984E+00 0.246735588E+00 0.339388532E+01 0.256310781E+01
 0.850000000E+00 0.496307440E+00 0.248846425E+00 0.339367900E+01 0.259642461E+01
 0.855000000E+00 0.499226895E+00 0.250957339E+00 0.339348362E+01 0.263083408E+01
 0.860000000E+00 0.502146351E+00 0.253068190E+00 0.339329933E+01 0.266641131E+01
 0.865000000E+00 0.505065806E+00 0.255178838E+00 0.339312633E+01 0.270323914E+01
 0.870000000E+00 0.507985262E+00 0.257289142E+00 0.339296479E+01 0.274141119E+01
 0.875000000E+00 0.510904717E+00 0.259398956E+00 0.339281494E+01 0.278102975E+01
 0.880000000E+00 0.513824173E+00 0.261508134E+00 0.339267701E+01 0.282221350E+01
 0.885000000E+00 0.516743628E+00 0.263616525E+00 0.339255123E+01 0.286509685E+01
 0.890000000E+00 0.519663084E+00 0.265723978E+00 0.339243792E+01 0.290983454E+01
 0.895000000E+00 0.522582540E+00 0.267830336E+00 0.339233736E+01 0.295659978E+01
 0.900000000E+00 0.525501995E+00 0.269935441E+00 0.339224989E+01 0.300559808E+01
 0.905000000E+00 0.528421451E+00 0.272039128E+00 0.339217590E+01 0.305707137E+01
 0.910000000E+00 0.531340906E+00 0.274141231E+00 0.339211580E+01 0.311129965E+01
 0.915000000E+00 0.534260362E+00 0.276241576E+00 0.339207005E+01 0.316862526E+01
 0.920000000E+00 0.537179817E+00 0.278339987E+00 0.339203914E+01 0.322945600E+01
 0.925000000E+00 0.540099273E+00 0.280436281E+00 0.339202363E+01 0.329429435E+01
 0.930000000E+00 0.543018728E+00 0.282530265E+00 0.339202417E+01 0.336376586E+01
 0.935000000E+00 0.545938184E+00 0.284621749E+00 0.339204155E+01 0.343859689E+01
 0.940000000E+00 0.548857639E+00 0.286710554E+00 0.339207695E+01 0.351957301E+01
 0.945000000E+00 0.551777095E+00 0.288796539E+00 0.339213187E+01 0.360755220E+01
 0.950000000E+00 0.554696550E+00 0.290879627E+00 0.339220816E+01 0.370351702E+01
 0.955000000E+00 0.557616006E+00 0.292959829E+00 0.339230812E+01 0.380853417E+01
 0.960000000E+00 0.560535461E+00 0.295037260E+00 0.339243439E+01 0.392385077E+01
 0.965000000E+00 0.563454917E+00 0.297112144E+00 0.339259245E+01 0.405062951E+01
 0.970000000E+00 0.566374372E+00 0.299184961E+00 0.339280797E+01 0.418801844E+01
 0.975000000E+00 0.569293828E+00 0.301256643E+00 0.339314102E+01 0.432975328E+01
 0.980000000E+00 0.572213284E+00 0.303328893E+00 0.339368516E+01 0.446059456E+01
 0.985000000E+00 0.575132739E+00 0.305404847E+00 0.339448340E+01 0.457790479E+01
 0.990000000E+00 0.578052195E+00 0.307485412E+00 0.339536278E+01 0.474887897E+01
 0.995000000E+00 0.580971650E+00 0.309567282E+00 0.339609955E+01 0.510778685E+01
 0.100000000E+01 0.583891106E+00 0.311645638E+00 0.339659515E+01 0.956259704E+01
